"STATION","NAME","DATE","PRCP","TMIN"
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-03-11","1.52",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-04-02","0.65",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-04-06",,
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-04-10","0.36",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-04-13","0.22",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-04-14","0.05",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-04-15","0.42",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-04-16","0.28",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-04-17","0.00",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-04-18","1.00",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-04-22","0.05",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-04-28","1.20",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-05-01","0.43",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-05-05","0.11",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-05-13","0.09",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-05-16","0.04",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-05-19","0.28",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-05-25","0.24",
"US1ILDP0139","WESTMONT 1.1 SSW, IL US","2026-06-08","0.94",
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-01","0.07","9"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-02","0.00","10"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-03","0.00","18"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-04","0.00","22"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-05","0.00","23"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-06","0.00","31"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-07","0.00","32"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-08","0.00","31"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-09","1.71","41"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-10","0.18","37"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-11","0.00","21"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-12","0.00","25"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-13","0.00","28"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-14","0.00","36"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-15","0.09","12"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-16","0.06","11"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-17","0.00","11"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-18","0.01","6"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-19","0.09","-1"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-20","0.00","-1"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-21","0.00","2"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-22","0.00","15"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-23","0.00","-10"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-24","0.00","-9"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-25","0.09","-8"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-26","0.03","-2"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-27","0.00","-2"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-28","0.00","1"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-29","0.00","-4"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-30","0.00","-1"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-01-31","0.00","4"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-01","0.00","2"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-02","0.02","10"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-03","0.00","14"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-04","0.00","13"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-05","0.00","6"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-06","0.01","19"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-07","0.00","11"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-08","0.00","14"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-09","0.00","18"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-10","0.00","20"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-11","0.00","23"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-12","0.00","20"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-13","0.00","18"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-14","0.00","18"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-15","0.00","25"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-16","0.00","27"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-17","0.00","33"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-18","0.06","33"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-19","0.00","28"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-20","0.05","28"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-21","0.00","24"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-22","0.00","21"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-23","0.00","18"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-24","0.00","18"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-25","0.00","22"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-26","0.00","16"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-27","0.00","19"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-02-28","0.00","27"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-01","0.00","23"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-02","0.00","19"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-03","0.00","25"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-04","0.00","28"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-05","0.10","35"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-06","0.02","40"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-07","0.88","47"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-08","0.05","33"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-09","0.02","34"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-10","0.00","46"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-11","1.38","39"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-12","0.12","28"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-13","0.03","29"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-14","0.00","27"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-15","0.00","32"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-16","1.80","23"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-17","0.00","14"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-18","0.02","13"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-19","0.00","24"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-20","0.00","32"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-21","0.00","38"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-22","0.00","43"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-23","0.01","29"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-24","0.00","28"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-25","0.00","28"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-26","0.00","43"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-27","0.48","31"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-29","0.00","23"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-30","0.00","40"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-03-31","0.31","53"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-01","0.09","36"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-02","0.60","36"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-03","0.67","40"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-04","0.52","39"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-05","0.05","36"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-06","0.10","36"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-07","0.00","28"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-08","0.01","29"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-09","0.00","39"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-10","0.34","43"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-11","0.00",
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-12","0.00","30"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-13","0.25","60"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-14","0.11","58"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-15","0.53","57"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-16","0.28","58"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-17","0.01","50"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-18","0.74","44"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-19","0.00","31"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-20","0.01","28"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-21","0.00","32"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-22","0.00","51"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-23","0.00",
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-24","0.00","46"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-25","0.00","46"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-26","0.00","42"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-27","0.00","46"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-28","1.00","50"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-29","0.01","50"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-04-30","0.00","33"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-01","0.45","34"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-02",,
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-03",,
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-04","0.04","28"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-05","0.08","45"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-06","0.05","36"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-07","0.00","30"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-08","0.05","37"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-09","0.00","45"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-10","0.00","35"
